video_id,group_id,Question,Answer Options,Correct Answer
a77682da-cae7-4e68-8580-6cb47658b23f,"42.jpg
101.jpg
189.jpg
336.jpg
498.jpg
2072.jpg
2128.jpg
7123.jpg
7483.jpg","Why did I use the tablet while playing the piano, given the observed changes in my attention?","A: I was checking social media updates on the tablet.
B: I was adjusting the music sheet displayed on the tablet to follow along with the song.
C: I was distracted by a notification on the tablet and lost focus on playing.
D: I was trying to record myself playing the piano using the tablet.
E: I was looking up a tutorial on how to play the piano.",B
4e07da0c-450f-4c37-95e9-e793cb5d8f7f,"0.jpg
176.jpg
498.jpg
698.jpg
730.jpg
872.jpg
950.jpg
1347.jpg
1413.jpg","Why did I unzip the bag on the floor with my left hand while organizing my musical equipment, given the observed changes in my attention?","A: I was distracted by a shiny object near the bag and wanted to investigate it.
B: I was preparing to put away the tuner after using it for the French horn.
C: I was checking if there were any other instruments inside the bag.
D: I was influenced by someone nearby who suggested I check the bag.
E: I was trying to retrieve another item from the bag unrelated to the French horn.",B
4e07da0c-450f-4c37-95e9-e793cb5d8f7f,"4116.jpg
4188.jpg
4337.jpg
4793.jpg
5040.jpg
7637.jpg
7708.jpg
7804.jpg
7864.jpg","Why did I adjust the camera with my right hand while playing the French horn, considering the shifts in my attention?","A: I was trying to get a better view of the music notes by adjusting the camera.
B: I was distracted by something off-screen and needed to reposition the camera.
C: I was ensuring that the camera captured the correct angle for recording my performance.
D: I was fixing the camera because it was obstructing my view of the mirror.
E: I was making sure the camera didn't interfere with my playing technique.",C
4e07da0c-450f-4c37-95e9-e793cb5d8f7f,"9975.jpg
10059.jpg
11667.jpg
11831.jpg
11973.jpg
12101.jpg
12211.jpg
13177.jpg
13412.jpg","Why did I play the french horn with my left hand while organizing my music book, given the observed changes in my attention?","A: I was focusing on the sheet music to ensure I played the correct notes.
B: I was distracted by the reflection of another person in the mirror and adjusted my sleeve.
C: I was trying to coordinate my gaze with the page flips to find the right part of the piece.
D: I was mimicking someone else's playing style as seen in the mirror.
E: I was preparing for a performance by practicing specific sections.",C
b70b1c34-46b6-49af-bddb-505dc7738f96,"123.jpg
690.jpg
754.jpg
856.jpg
884.jpg
909.jpg
1032.jpg
1125.jpg
1205.jpg","Why did I pick a memory card while organizing the gaming setup, given the observed changes in my attention?","A: I was distracted by the bright light from the television and accidentally grabbed a memory card.
B: I was checking if any specific memory card was missing from the container.
C: I was preparing to insert the memory card into the console for a new game session.
D: I was trying to hide the memory cards from others who might use them.
E: I was simply moving items around without any particular purpose.",C
b70b1c34-46b6-49af-bddb-505dc7738f96,"1906.jpg
1927.jpg
1992.jpg
2065.jpg
2333.jpg
2390.jpg
2516.jpg
2548.jpg
2708.jpg","Why did I open the box while interacting with the Nintendo Switch, given the observed changes in my attention?","A: I was distracted by the colorful packaging and wanted to explore its contents.
B: I was preparing to insert a new memory card into the Nintendo Switch.
C: I was checking if the box contained additional accessories for the game.
D: I was trying to find a specific item that was misplaced on the floor.
E: I was influenced by Woman A's actions and decided to mimic her behavior.",C
b70b1c34-46b6-49af-bddb-505dc7738f96,"3417.jpg
3751.jpg
3788.jpg
3826.jpg
3921.jpg
3955.jpg
4047.jpg
4205.jpg
4261.jpg","Why did I put down the craft material in the box while organizing them, given the observed changes in my attention?","A: I was distracted by the television and lost focus on the task at hand.
B: I was ensuring that all materials were neatly arranged within the box for easy access later.
C: I was checking if any specific piece was missing from the set.
D: I was trying to hide certain pieces from others who might be watching.
E: I was preparing the materials for immediate use in a project.",B
b70b1c34-46b6-49af-bddb-505dc7738f96,"4752.jpg
4819.jpg
5244.jpg
5464.jpg
5631.jpg
5711.jpg
5934.jpg
6040.jpg
6354.jpg","Why did I operate the television while Woman A was adjusting her camera, considering the shifts in my attention?","A: I was trying to show Woman A a specific game setup on the TV screen.
B: I was distracted by the carton on the floor and kept looking at it instead of focusing on the TV.
C: I was preparing the next step in the game tutorial, anticipating that Woman A would soon be ready.
D: I was mimicking Woman A's actions, thinking she wanted me to adjust something on the TV.
E: I was checking if the game controller was working properly by randomly pressing buttons.",C
b70b1c34-46b6-49af-bddb-505dc7738f96,"7539.jpg
7995.jpg
8167.jpg
8195.jpg
8199.jpg
8214.jpg
8227.jpg
8279.jpg
8313.jpg","Why did I put down the craft material while Woman A was moving craft materials on the floor, considering the shifts in my attention?","A: I was distracted by the television and lost focus on the task at hand.
B: I was ensuring that the workspace remained organized as I anticipated needing more space.
C: I was mimicking Woman A's actions to maintain a synchronized workflow.
D: I was checking the television for instructions related to the next steps.
E: I was clearing out irrelevant pieces to avoid clutter.",B
b70b1c34-46b6-49af-bddb-505dc7738f96,"9077.jpg
9114.jpg
9201.jpg
9316.jpg
9399.jpg
9428.jpg
9527.jpg
9606.jpg
9658.jpg","Why did I hold the craft material with both hands while assembling, given the observed changes in my attention?","A: I was trying to mimic Woman A's actions as she pressed the materials.
B: I was focusing on aligning the pieces precisely for a better fit.
C: I was distracted by the high-salience objects in the background.
D: I was preparing to put down the craft material immediately.
E: I was checking if the piece was the correct one for the next step.",B
