video_id,group_id,Question,Answer Options,Correct Answer
OP01-R01-PastaSalad,"4017.jpg
4145.jpg
4203.jpg
4274.jpg
4348.jpg
4395.jpg
4533.jpg
4671.jpg
4713.jpg","Why did I cut the bell pepper while preparing the pasta salad, given the observed changes in my attention?","A: I was distracted by the nearby utensils and kept adjusting them.
B: I was checking if the bell pepper was fresh before cutting it.
C: I was following the recipe instructions closely as my gaze shifted to the recipe card.
D: I was trying to mimic someone else's cooking style as I glanced at them.
E: I was preparing the bell pepper for a different dish entirely.",C
OP01-R01-PastaSalad,"1229.jpg
1323.jpg
1437.jpg
1503.jpg
1795.jpg
2077.jpg
2249.jpg
2504.jpg
2839.jpg","Why did I repeatedly cut the tomato while preparing it, given the observed changes in my attention?","A: I was focused on slicing the tomato evenly to ensure uniform pieces for a recipe.
B: I was distracted by the other items in the fridge and kept returning to the tomato cutting task.
C: I was checking if the knife was sharp enough by repeatedly cutting the tomato.
D: I was trying to create a specific pattern on the tomato for presentation purposes.
E: I was mimicking someone else's actions as they were demonstrating how to cut tomatoes.",A
OP01-R02-TurkeySandwich,"4714.jpg
4766.jpg
4791.jpg
4812.jpg
4834.jpg
4865.jpg
5250.jpg
5671.jpg
5748.jpg","Why did I take the deli meat from the container while preparing the sandwich, given the observed changes in my attention?","A: I was distracted by the cheese and kept adjusting it on the counter.
B: I was checking if the deli meat was fresh before adding it to the sandwich.
C: I was trying to hide the deli meat from others who might want some.
D: I was ensuring that the deli meat slices were evenly distributed for the sandwich.
E: I was mimicking someone else's actions as they prepared a similar sandwich nearby.",D
OP01-R02-TurkeySandwich,"6389.jpg
6416.jpg
6446.jpg
6471.jpg
6497.jpg
6526.jpg
6552.jpg
6638.jpg
6731.jpg","Why did I place the lettuce on the sandwich while assembling it, given the observed changes in my attention?","A: I was ensuring that the lettuce was evenly distributed across the sandwich.
B: I was distracted by the cheese and kept adjusting its position.
C: I was checking if the lettuce was fresh before adding it to the sandwich.
D: I was trying to mimic someone else's method of making a sandwich.
E: I was preparing the lettuce for a different dish.",A
OP01-R03-BaconAndEggs,"7126.jpg
7194.jpg
7236.jpg
7265.jpg
7302.jpg
7390.jpg
7496.jpg
7555.jpg
7618.jpg","Why did I pour juice into the cup while organizing my kitchen, given the observed changes in my attention?","A: I was distracted by the nearby sugar container and accidentally poured the juice.
B: I was checking if the juice container was empty before discarding it.
C: I intended to prepare a drink for myself after noticing the juice container.
D: I was mimicking someone else's actions as they were pouring a similar drink.
E: I was trying to clean the cabinet by using the juice as a cleaning agent.",C
OP01-R03-BaconAndEggs,"14187.jpg
14257.jpg
14303.jpg
14342.jpg
14802.jpg
15252.jpg
15311.jpg
15407.jpg
15508.jpg","Why did I transfer the eggs from the pan to the plate while cooking, given the observed changes in my attention?","A: I was distracted by the stove's digital display and lost track of the cooking process.
B: My gaze shifted towards the plate as a signal that it was time to serve the eggs.
C: I noticed the eggs were overcooked and quickly moved them to avoid burning.
D: I was checking the consistency of the eggs by looking at the pan closely.
E: I was preparing to add more ingredients to the pan.",B
OP01-R04-ContinentalBreakfast,"2179.jpg
2211.jpg
2260.jpg
2312.jpg
2490.jpg
2675.jpg
2715.jpg
2750.jpg
2785.jpg","Why did I take the plate from the counter while preparing my meal, given the observed changes in my attention?","A: I was distracted by the bread container and wanted to clear the counter space.
B: I needed the plate to serve the food I was about to prepare.
C: I was checking if the plate was clean before using it.
D: I was mimicking someone else's actions as they were also preparing a meal nearby.
E: I was trying to hide the plate from view to avoid distractions.",B
OP01-R04-ContinentalBreakfast,"2820.jpg
2859.jpg
2906.jpg
2977.jpg
3026.jpg
3053.jpg
3105.jpg
3155.jpg
3190.jpg","Why did I take the eating utensil while preparing the meal, given the observed changes in my attention?","A: I was distracted by the nearby mug and kept reaching for it instead of the utensil.
B: I needed the utensil to stir the contents of the pot after adding condiments.
C: I was checking if the utensil was clean before using it.
D: I was mimicking someone else's actions as they were also using a utensil.
E: I was trying to hide the utensil from others who might need it.",B
OP01-R05-Cheeseburger,"3561.jpg
3633.jpg
3719.jpg
3784.jpg
3815.jpg
3887.jpg
3964.jpg
4018.jpg
4128.jpg","Why did I take the tomato while preparing the meal, given the observed changes in my attention?","A: I was distracted by the nearby cooking utensils and accidentally grabbed the tomato.
B: I was focusing on the grocery bag to ensure all ingredients were accounted for before using the tomato.
C: I was planning to cut the tomato next as part of the meal preparation process.
D: I was influenced by someone else's actions and decided to use the tomato without thinking.
E: I was checking if the tomato was ripe enough for the dish.",C
OP01-R05-Cheeseburger,"643.jpg
696.jpg
761.jpg
813.jpg
847.jpg
876.jpg
910.jpg
965.jpg
1019.jpg","Why did I open the patty container and take a patty, considering the shifts in my attention during the task?","A: I was distracted by the patties' appearance and decided to inspect them closely.
B: I was preparing to cook the patties and needed one for immediate use.
C: I was checking if the patties were spoiled before storing them back in the fridge.
D: I was influenced by someone else's suggestion to try a different brand of patties.
E: I was merely curious about the packaging design and opened it without any specific purpose.",B
OP01-R07-Pizza,"7363.jpg
7397.jpg
7441.jpg
7805.jpg
8160.jpg
8369.jpg
8567.jpg
8590.jpg
8619.jpg","Why did I transfer the mushrooms from the plate to the pan while cooking, given the observed changes in my attention?","A: I was distracted by the nearby salt container and accidentally spilled some salt into the pan.
B: My gaze shifted towards the pan as I anticipated adding the mushrooms to cook them with other ingredients.
C: I was checking if the mushrooms were properly chopped before transferring them, focusing on their size.
D: I noticed someone entering the kitchen and decided to speed up the process by quickly moving the mushrooms.
E: I was trying to clear the workspace by putting away the plate, without considering the cooking sequence.",B
OP01-R07-Pizza,"8651.jpg
8688.jpg
8719.jpg
8955.jpg
9198.jpg
9489.jpg
9836.jpg
10199.jpg
10567.jpg","Why did I inspect the phone while cooking mushrooms, given the observed changes in my attention?","A: I was checking a recipe to ensure I was adding the right ingredients.
B: I was distracted by an incoming message and lost focus on cooking.
C: I was verifying the temperature of the stove for optimal cooking.
D: I was looking up a new cooking technique unrelated to the current meal.
E: I was confirming the next step in the cooking process based on the recipe.",A
OP02-R01-PastaSalad,"3522.jpg
3782.jpg
4220.jpg
4621.jpg
4649.jpg
4697.jpg
4763.jpg
4813.jpg
4841.jpg","Why did I take the cucumber container from the fridge drawer while preparing a meal, given the observed changes in my attention?","A: I was distracted by the bright light inside the fridge and grabbed the nearest item.
B: I was checking if there were any fresh vegetables available for the recipe I was following.
C: I was looking for a high-salience item to use as a centerpiece for the table setting.
D: I was influenced by social cues suggesting that cucumbers are popular in salads.
E: I was trying to hide the cucumbers from others who might want them.",B
OP02-R01-PastaSalad,"904.jpg
1001.jpg
1319.jpg
1633.jpg
1722.jpg
1990.jpg
2458.jpg
2974.jpg
3293.jpg","Why did I cut the cucumber while preparing the salad, given the observed changes in my attention?","A: I was focused on slicing the cucumber evenly to ensure it would mix well with the other ingredients.
B: I was distracted by the nearby bottle of lemon juice and kept adjusting my grip on the knife.
C: I was checking if the tomato was ready to be added next, which influenced my cutting pattern.
D: I was trying to mimic someone else's technique for cutting cucumbers that I saw earlier.
E: I was drawn to the high-salience objects like the spice jars and lost focus on the task.",A
