video_id,group_id,Question,Answer Options,Correct Answer
0aed7ffd-224d-4f50-94eb-9d54fd4a1521,"548.jpg
728.jpg
949.jpg
1102.jpg
1346.jpg
2214.jpg
2588.jpg
2736.jpg
3118.jpg",Where is the carrot relative to my gaze when I get it from the bowl on the kitchen counter?,"A: The carrot is in the bowl, directly under my current fixation.
B: The carrot is in the bowl, slightly to the left of my current fixation.
C: The carrot is in the bowl, slightly to the right of my current fixation.
D: The carrot is in the bowl, behind my current fixation.
E: The carrot is in the bowl, in front of my current fixation.",C
0aed7ffd-224d-4f50-94eb-9d54fd4a1521,"17057.jpg
17319.jpg
18080.jpg
18297.jpg
18474.jpg
18520.jpg
18814.jpg
19306.jpg
19436.jpg",Where is the olive oil bottle relative to my gaze when I get it from the kitchen counter?,"A: The olive oil bottle is on the left side of the counter, slightly in front of my current fixation.
B: The olive oil bottle is near the center of the counter, directly under my current fixation.
C: The olive oil bottle is on the right side of the counter, behind my current fixation.
D: The olive oil bottle is near the edge of the counter, to the right of my current fixation.
E: The olive oil bottle is on the counter, to the left of the cutting board and my current fixation.",E
b008edb1-b0ab-4d8a-a303-5c09a6ecc790,"171.jpg
358.jpg
497.jpg
833.jpg
881.jpg
1441.jpg
1572.jpg
1668.jpg
2130.jpg",Where is the milk pack relative to my gaze when I add milk into the coffee cup?,"A: The milk pack is on the countertop, to the left of my current fixation.
B: The milk pack is near the edge of the countertop, behind my current fixation.
C: The milk pack is on the countertop, in front of my current fixation.
D: The milk pack is on the countertop, to the right of my current fixation.
E: The milk pack is on the countertop, to the right of the coffee cup and my current fixation.",D
260afb8c-0cac-4f5e-8b07-02e85fc17d6f,"405.jpg
529.jpg
680.jpg
1507.jpg
1950.jpg
2468.jpg
2894.jpg
3333.jpg
3421.jpg","In Frame 4, where is the level you need to push inward and turn the axle CW to tighten, relative to your current gaze fixation?","A: The level is on the left side of the bike frame, slightly below your current gaze fixation.
B: The level is near the bottom bracket area, directly in line with your current gaze fixation.
C: The level is on the right side of the bike frame, above your current gaze fixation.
D: The level is near the top tube of the bike frame, to the right of your current gaze fixation.
E: The level is near the rear wheel, behind your current gaze fixation.",B
c0049eef-6fb3-4383-9ab3-5e6b892cd843,"303.jpg
1334.jpg
1574.jpg
1875.jpg
1973.jpg
2663.jpg
2681.jpg
3248.jpg
3483.jpg",Where is the COVID test vial relative to my gaze when I shake the testing solution by tapping on the table?,"A: The COVID test vial is directly under my gaze, positioned in front of the instruction manual.
B: The COVID test vial is to the left of my gaze, near the edge of the table.
C: The COVID test vial is slightly to the right of my gaze, closer to the center of the table.
D: The COVID test vial is behind my gaze, near the camera setup in the background.
E: The COVID test vial is below my gaze, resting on the table near the bottom right corner.",C
ca360201-f003-44c5-ab2b-2487cdec5e1a,"240.jpg
307.jpg
843.jpg
960.jpg
4095.jpg",Where is the chain lube relative to my gaze when I get it from the table?,"A: The chain lube is on the left side of the table, directly in front of my current fixation.
B: The chain lube is near the center of the table, slightly to the right of my current fixation.
C: The chain lube is on the right side of the table, behind my current fixation.
D: The chain lube is near the edge of the table, to the left of my current fixation.
E: The chain lube is near the center of the table, to the left of my current fixation.",B
7afe02e8-fbde-42fe-9d1b-1663cb6e0f7d,"193.jpg
389.jpg
2377.jpg
4115.jpg",Where is the wrench I am looking at relative to the bike wheel and other tools on the table?,"A: The wrench is near the bottom of the table, below the bike wheel and to the left of the screwdriver.
B: The wrench is on the right side of the table, next to the water bottles and above the pliers.
C: The wrench is in the center of the table, directly under my gaze and between the bike wheel and a pair of gloves.
D: The wrench is on the left side of the table, near the top and to the right of the bike wheel.
E: The wrench is near the edge of the table, to the right of the bike wheel and below the water bottles.",C
919b7ecf-b37e-4dd2-9fac-4f04b80fbeb8,"294.jpg
381.jpg
493.jpg
633.jpg
1039.jpg
2417.jpg
2536.jpg
2948.jpg
3078.jpg",Where is the object I am currently looking at relative to the bike wheel and my position while positioning the wheel into the bike fork?,"A: The object I am looking at is on the shelf, directly in front of me and above the bike wheel.
B: The object I am looking at is near the floor, below the bike wheel and slightly to the left of my current fixation.
C: The object I am looking at is on the bike frame, just behind the wheel and aligned with my gaze direction.
D: The object I am looking at is on the tool rack, to the right of the bike wheel and slightly above my current fixation.
E: The object I am looking at is on the bike handlebars, positioned above the wheel and to the right of my current fixation.",C
e353042a-42b6-44fc-b825-3017f274de96,"278.jpg
323.jpg
1045.jpg
1208.jpg
1245.jpg
1332.jpg
1433.jpg
2613.jpg
3191.jpg","Where is the tire lever I engaged relative to my gaze direction, and what object does it interact with?","A: The tire lever is on the rim, slightly below and to the right of my current fixation, interacting with the wheel's bead.
B: The tire lever is near the top of the rim, directly in line with my current fixation, interacting with the valve.
C: The tire lever is on the floor, to the left of my current fixation, not yet engaged with any part of the wheel.
D: The tire lever is on the rim, above and to the left of my current fixation, interacting with the tube.
E: The tire lever is on the rim, slightly below and to the left of my current fixation, interacting with the wheel's bead.",A
bb0cce4d-4433-4e2b-9d73-be77918f2069,"3024.jpg
3769.jpg
3895.jpg
3937.jpg
4054.jpg
5395.jpg
5533.jpg
5879.jpg
6082.jpg","Where is the object I focused on while getting tomatoes from the refrigerator, relative to other objects in the fridge?","A: The tomatoes are at the bottom shelf, to the right of the beef and below the eggs.
B: The tomatoes are on the middle shelf, to the left of the dried mushrooms and above the beef.
C: The tomatoes are on the top shelf, to the right of the eggs and next to the beef.
D: The tomatoes are on the door shelf, to the left of the egg carton and below the dried mushrooms.
E: The tomatoes are on the bottom shelf, to the right of the egg carton and below the beef.",E
